国际时事,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
NHK World,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
AlJazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Arirang TV,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
CGTN,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Documentary,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002905/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Français,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002827/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Русский,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002883/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN Español,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002716/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CGTN العربية,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002826/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

广东频道,#genre#
CCTV -1综合高清,http://192.168.1.1:7088/udp/239.77.0.86:5146
CCTV -2财经高清,http://192.168.1.1:7088/udp/239.77.0.137:5146
CCTV -7军事农业高清,http://192.168.1.1:7088/udp/239.77.0.138:5146
CCTV-10科教高清,http://192.168.1.1:7088/udp/239.77.0.134:5146
广东卫视,http://192.168.1.1:7088/udp/239.77.0.2:5146
广东珠江,http://192.168.1.1:7088/udp/239.77.0.3:5146
广东新闻,http://192.168.1.1:7088/udp/239.77.0.4:5146
广东民生,http://192.168.1.1:7088/udp/239.77.0.5:5146
广东体育,http://192.168.1.1:7088/udp/239.77.0.6:5146
经济科教,http://192.168.1.1:7088/udp/239.77.0.8:5146
大湾区卫视,http://192.168.1.1:7088/udp/239.77.0.9:5146
广东影视,http://192.168.1.1:7088/udp/239.77.0.11:5146
广东少儿,http://192.168.1.1:7088/udp/239.77.0.12:5146
嘉佳卡通,http://192.168.1.1:7088/udp/239.77.0.13:5146
广东4K超高清,http://192.168.1.1:7088/udp/239.77.0.244:5146
广东4K超高清 宽色域,http://192.168.1.1:7088/udp/239.77.0.246:5146
广东4K超高清 窄色域 30,http://192.168.1.1:7088/udp/239.77.0.245:5146
南方购物-精选,http://192.168.1.1:7088/udp/239.77.0.19:5146
广东4K超高清 宽色域AVS2,http://192.168.1.1:7088/udp/239.77.0.252:5146
广东移动,http://192.168.1.1:7088/udp/239.77.0.20:5146
汕头新闻综合,http://192.168.1.1:7088/udp/239.253.43.30:5146
汕头经济生活,http://192.168.1.1:7088/udp/239.253.43.43:5146
汕头文旅体育,http://192.168.1.1:7088/udp/239.253.43.44:5146
南方购物,http://192.168.1.1:7088/udp/239.77.0.22:5146
岭南戏曲,http://192.168.1.1:7088/udp/239.77.0.16:5146
现代教育,http://192.168.1.1:7088/udp/239.77.0.18:5146
CCTV-1综合,http://192.168.1.1:7088/udp/239.77.0.30:5146
CCTV-2财经,http://192.168.1.1:7088/udp/239.77.0.31:5146
CCTV-3综艺,http://192.168.1.1:7088/udp/239.0.10.52:5052
CCTV-4中文国际,http://192.168.1.1:7088/udp/239.77.0.33:5146
CCTV-5体育,http://192.168.1.1:7088/udp/239.0.10.53:5053
CCTV-6电影,http://192.168.1.1:7088/udp/239.0.10.54:5054
CCTV-7国防军事,http://192.168.1.1:7088/udp/239.77.0.36:5146
CCTV-8电视剧,http://192.168.1.1:7088/udp/239.0.10.55:5055
CCTV-9纪录,http://192.168.1.1:7088/udp/239.77.0.38:5146
CCTV-10科教,http://192.168.1.1:7088/udp/239.77.0.39:5146
CCTV-11戏曲,http://192.168.1.1:7088/udp/239.77.0.40:5146
CCTV-12社会与法,http://192.168.1.1:7088/udp/239.77.0.41:5146
CCTV-13新闻,http://192.168.1.1:7088/udp/239.77.0.42:5146
CCTV-14少儿,http://192.168.1.1:7088/udp/239.77.0.43:5146
CCTV-15音乐,http://192.168.1.1:7088/udp/239.77.0.44:5146
CGTN,http://192.168.1.1:7088/udp/239.77.0.45:5146
CCTV-17农业,http://192.168.1.1:7088/udp/239.77.0.115:5146
湖南卫视,http://192.168.1.1:7088/udp/239.77.0.46:5146
浙江卫视,http://192.168.1.1:7088/udp/239.77.0.47:5146
江苏卫视,http://192.168.1.1:7088/udp/239.77.0.48:5146
东方卫视,http://192.168.1.1:7088/udp/239.77.0.49:5146
安徽卫视,http://192.168.1.1:7088/udp/239.77.0.50:5146
北京卫视,http://192.168.1.1:7088/udp/239.77.0.51:5146
天津卫视,http://192.168.1.1:7088/udp/239.77.0.52:5146
山东卫视,http://192.168.1.1:7088/udp/239.77.0.53:5146
江西卫视,http://192.168.1.1:7088/udp/239.77.0.54:5146
深圳卫视,http://192.168.1.1:7088/udp/239.77.0.55:5146
湖北卫视,http://192.168.1.1:7088/udp/239.77.0.56:5146
辽宁卫视,http://192.168.1.1:7088/udp/239.77.0.57:5146
黑龙江卫视,http://192.168.1.1:7088/udp/239.77.0.58:5146
贵州卫视,http://192.168.1.1:7088/udp/239.77.0.59:5146
四川卫视,http://192.168.1.1:7088/udp/239.77.0.60:5146
河南卫视,http://192.168.1.1:7088/udp/239.77.0.61:5146
云南卫视,http://192.168.1.1:7088/udp/239.77.0.62:5146
重庆卫视,http://192.168.1.1:7088/udp/239.77.0.63:5146
河北卫视,http://192.168.1.1:7088/udp/239.77.0.64:5146
东南卫视,http://192.168.1.1:7088/udp/239.77.0.65:5146
广西卫视,http://192.168.1.1:7088/udp/239.77.0.66:5146
吉林卫视,http://192.168.1.1:7088/udp/239.77.0.67:5146
陕西卫视,http://192.168.1.1:7088/udp/239.77.0.68:5146
山西卫视,http://192.168.1.1:7088/udp/239.77.0.69:5146
内蒙古卫视,http://192.168.1.1:7088/udp/239.77.0.70:5146
青海卫视,http://192.168.1.1:7088/udp/239.77.0.71:5146
海南卫视,http://192.168.1.1:7088/udp/239.77.0.72:5146
宁夏卫视,http://192.168.1.1:7088/udp/239.77.0.73:5146
西藏卫视,http://192.168.1.1:7088/udp/239.77.0.74:5146
新疆卫视,http://192.168.1.1:7088/udp/239.77.0.75:5146
甘肃卫视,http://192.168.1.1:7088/udp/239.77.0.76:5146
兵团卫视,http://192.168.1.1:7088/udp/239.77.0.77:5146
卡酷动画,http://192.168.1.1:7088/udp/239.77.0.79:5146
金鹰卡通,http://192.168.1.1:7088/udp/239.77.0.80:5146
炫动卡通,http://192.168.1.1:7088/udp/239.77.0.81:5146
CETV-1,http://192.168.1.1:7088/udp/239.77.0.82:5146
山东教育,http://192.168.1.1:7088/udp/239.77.0.83:5146
财富天下,http://192.168.1.1:7088/udp/239.77.0.113:5146
厦门卫视,http://192.168.1.1:7088/udp/239.77.0.96:5146
优漫卡通,http://192.168.1.1:7088/udp/239.77.0.222:5146
三沙卫视,http://192.168.1.1:7088/udp/239.77.0.152:5146
吉林延边卫视,http://192.168.1.1:7088/udp/239.77.0.10:5146
CETV2,http://192.168.1.1:7088/udp/239.77.0.28:5146
CETV4,http://192.168.1.1:7088/udp/239.77.0.29:5146
广东卫视高清,http://192.168.1.1:7088/udp/239.77.0.84:5146
经济科教高清,http://192.168.1.1:7088/udp/239.77.0.85:5146
广东体育高清-测试,http://192.168.1.1:7088/udp/239.77.0.112:5146
广东珠江高清,http://192.168.1.1:7088/udp/239.77.0.1:5146
大湾区卫视高清,http://192.168.1.1:7088/udp/239.77.0.215:5146
广东影视高清,http://192.168.1.1:7088/udp/239.77.0.217:5146
广东民生高清,http://192.168.1.1:7088/udp/239.77.0.225:5146
广东少儿高清,http://192.168.1.1:7088/udp/239.77.0.250:5146
广东新闻高清,http://192.168.1.1:7088/udp/239.77.0.173:5146
嘉佳卡通高清,http://192.168.1.1:7088/udp/239.77.0.179:5146
汕头新闻综合高清,http://192.168.1.1:7088/udp/239.253.43.45:5146
汕头经济生活高清,http://192.168.1.1:7088/udp/239.253.43.46:5146
汕头文旅体育高清,http://192.168.1.1:7088/udp/239.253.43.47:5146
CCTV-1高清,http://192.168.1.1:7088/udp/239.77.0.86:5146
CCTV5＋体育高清-测试,http://192.168.1.1:7088/udp/239.77.0.87:5146
CCTV-2高清测试,http://192.168.1.1:7088/udp/239.77.0.137:5146
CCTV-3高清,http://192.168.1.1:7088/udp/239.77.0.169:5146
CCTV-4高清,http://192.168.1.1:7088/udp/239.77.0.78:5146
CCTV-5高清,http://192.168.1.1:7088/udp/239.77.0.170:5146
CCTV-6高清,http://192.168.1.1:7088/udp/239.77.0.171:5146
CCTV-7高清测试,http://192.168.1.1:7088/udp/239.77.0.138:5146
CCTV-8高清,http://192.168.1.1:7088/udp/239.77.0.172:5146
CCTV-9高清测试,http://192.168.1.1:7088/udp/239.77.0.135:5146
CCTV-10高清测试,http://192.168.1.1:7088/udp/239.77.0.134:5146
CCTV-11高清,http://192.168.1.1:7088/udp/239.77.1.238:5146
CCTV-12高清测试,http://192.168.1.1:7088/udp/239.77.0.136:5146
CCTV-13高清,http://192.168.1.1:7088/udp/239.77.0.188:5146
CCTV-14高清测试,http://192.168.1.1:7088/udp/239.77.0.133:5146
CCTV-15高清,http://192.168.1.1:7088/udp/239.77.1.239:5146
爱体育高清,http://192.168.1.1:7088/udp/239.77.0.176:5146
CCTV-16高清,http://192.168.1.1:7088/udp/239.77.0.165:5146
CCTV-17农业高清,http://192.168.1.1:7088/udp/239.77.0.198:5146
CCTV4中文国际欧洲高清,http://192.168.1.1:7088/udp/239.253.43.120:5146
CCTV4中文国际美洲高清,http://192.168.1.1:7088/udp/239.253.43.121:5146
CGTN英语高清,http://192.168.1.1:7088/udp/239.77.0.199:5146
CGTN英文记录高清,http://192.168.1.1:7088/udp/239.253.43.122:5146
CGTN西班牙语高清,http://192.168.1.1:7088/udp/239.77.0.221:5146
CGTN法语高清,http://192.168.1.1:7088/udp/239.77.0.228:5146
CGTN阿拉伯语高清,http://192.168.1.1:7088/udp/239.253.43.200:5146
CGTN俄语高清,http://192.168.1.1:7088/udp/239.253.43.201:5146
湖南卫视高清,http://192.168.1.1:7088/udp/239.77.0.88:5146
浙江卫视高清,http://192.168.1.1:7088/udp/239.77.0.89:5146
